CSE1,CSE2,CSE3,CSE4,CSE5,CSE6,CSE7,CSE8,CSE9,CSE10,CSE11,CSE12,ProIdent1,ProIdent2,ProIdent3,Motivation1,Motivation2,Motivation3,Motivation4,LMX1,LMX2,LMX3,LMX4,LMX5,LMX6,LMX7,Volunteer1,Volunteer2,Volunteer3,Volunteer4,Volunteer5,POFit1,POFit2,POFit3,WFC1,WFC2,WFC3,WFC4,WFC5,WFC6,PANAS1Day1,PANAS2Day1,PANAS3Day1,PANAS4Day1,PANAS5Day1,PANAS6Day1,StressDay1,Fatigue1Day1,Fatigue2Day1,PrevFocus1Day1,PrevFocus2Day1,PrevFocus3Day1,PromFocus1Day1,PromFocus2Day1,PromFocus3Day1,TaskPerf1Day1,TaskPerf2Day1,TaskPerf3Day1,OCB1Day1,OCB2Day1,OCB3Day1,CWB1Day1,CWB2Day1,CWB3Day1,ProPerf1Day1,ProPerf2Day1,ProPerf3Day1,PANAS1Day2,PANAS2Day2,PANAS3Day2,PANAS4Day2,PANAS5Day2,PANAS6Day2,StressDay2,Fatigue1Day2,Fatigue2Day2,PrevFocus1Day2,PrevFocus2Day2,PrevFocus3Day2,PromFocus1Day2,PromFocus2Day2,PromFocus3Day2,TaskPerf1Day2,TaskPerf2Day2,TaskPerf3Day2,OCB1Day2,OCB2Day2,OCB3Day2,CWB1Day2,CWB2Day2,CWB3Day2,ProPerf1Day2,ProPerf2Day2,ProPerf3Day2,PANAS1Day3,PANAS2Day3,PANAS3Day3,PANAS4Day3,PANAS5Day3,PANAS6Day3,StressDay3,Fatigue1Day3,Fatigue2Day3,PrevFocus1Day3,PrevFocus2Day3,PrevFocus3Day3,PromFocus1Day3,PromFocus2Day3,PromFocus3Day3,TaskPerf1Day3,TaskPerf2Day3,TaskPerf3Day3,OCB1Day3,OCB2Day3,OCB3Day3,CWB1Day3,CWB2Day3,CWB3Day3,ProPerf1Day3,ProPerf2Day3,ProPerf3Day3,PANAS1Day4,PANAS2Day4,PANAS3Day4,PANAS4Day4,PANAS5Day4,PANAS6Day4,StressDay4,Fatigue1Day4,Fatigue2Day4,PrevFocus1Day4,PrevFocus2Day4,PrevFocus3Day4,PromFocus1Day4,PromFocus2Day4,PromFocus3Day4,TaskPerf1Day4,TaskPerf2Day4,TaskPerf3Day4,OCB1Day4,OCB2Day4,OCB3Day4,CWB1Day4,CWB2Day4,CWB3Day4,ProPerf1Day4,ProPerf2Day4,ProPerf3Day4,PANAS1Day5,PANAS2Day5,PANAS3Day5,PANAS4Day5,PANAS5Day5,PANAS6Day5,StressDay5,Fatigue1Day5,Fatigue2Day5,PrevFocus1Day5,PrevFocus2Day5,PrevFocus3Day5,PromFocus1Day5,PromFocus2Day5,PromFocus3Day5,TaskPerf1Day5,TaskPerf2Day5,TaskPerf3Day5,OCB1Day5,OCB2Day5,OCB3Day5,CWB1Day5,CWB2Day5,CWB3Day5,ProPerf1Day5,ProPerf2Day5,ProPerf3Day5,PANAS1Day6,PANAS2Day6,PANAS3Day6,PANAS4Day6,PANAS5Day6,PANAS6Day6,StressDay6,Fatigue1Day6,Fatigue2Day6,PrevFocus1Day6,PrevFocus2Day6,PrevFocus3Day6,PromFocus1Day6,PromFocus2Day6,PromFocus3Day6,TaskPerf1Day6,TaskPerf2Day6,TaskPerf3Day6,OCB1Day6,OCB2Day6,OCB3Day6,CWB1Day6,CWB2Day6,CWB3Day6,ProPerf1Day6,ProPerf2Day6,ProPerf3Day6,PANAS1Day7,PANAS2Day7,PANAS3Day7,PANAS4Day7,PANAS5Day7,PANAS6Day7,StressDay7,Fatigue1Day7,Fatigue2Day7,PrevFocus1Day7,PrevFocus2Day7,PrevFocus3Day7,PromFocus1Day7,PromFocus2Day7,PromFocus3Day7,TaskPerf1Day7,TaskPerf2Day7,TaskPerf3Day7,OCB1Day7,OCB2Day7,OCB3Day7,CWB1Day7,CWB2Day7,CWB3Day7,ProPerf1Day7,ProPerf2Day7,ProPerf3Day7,PANAS1Day8,PANAS2Day8,PANAS3Day8,PANAS4Day8,PANAS5Day8,PANAS6Day8,StressDay8,Fatigue1Day8,Fatigue2Day8,PrevFocus1Day8,PrevFocus2Day8,PrevFocus3Day8,PromFocus1Day8,PromFocus2Day8,PromFocus3Day8,TaskPerf1Day8,TaskPerf2Day8,TaskPerf3Day8,OCB1Day8,OCB2Day8,OCB3Day8,CWB1Day8,CWB2Day8,CWB3Day8,ProPerf1Day8,ProPerf2Day8,ProPerf3Day8,PANAS1Day9,PANAS2Day9,PANAS3Day9,PANAS4Day9,PANAS5Day9,PANAS6Day9,StressDay9,Fatigue1Day9,Fatigue2Day9,PrevFocus1Day9,PrevFocus2Day9,PrevFocus3Day9,PromFocus1Day9,PromFocus2Day9,PromFocus3Day9,TaskPerf1Day9,TaskPerf2Day9,TaskPerf3Day9,OCB1Day9,OCB2Day9,OCB3Day9,CWB1Day9,CWB2Day9,CWB3Day9,ProPerf1Day9,ProPerf2Day9,ProPerf3Day9,PANAS1Day10,PANAS2Day10,PANAS3Day10,PANAS4Day10,PANAS5Day10,PANAS6Day10,StressDay10,Fatigue1Day10,Fatigue2Day10,PrevFocus1Day10,PrevFocus2Day10,PrevFocus3Day10,PromFocus1Day10,PromFocus2Day10,PromFocus3Day10,TaskPerf1Day10,TaskPerf2Day10,TaskPerf3Day10,OCB1Day10,OCB2Day10,OCB3Day10,CWB1Day10,CWB2Day10,CWB3Day10,ProPerf1Day10,ProPerf2Day10,ProPerf3Day10,PANAS1Day11,PANAS2Day11,PANAS3Day11,PANAS4Day11,PANAS5Day11,PANAS6Day11,StressDay11,Fatigue1Day11,Fatigue2Day11,PrevFocus1Day11,PrevFocus2Day11,PrevFocus3Day11,PromFocus1Day11,PromFocus2Day11,PromFocus3Day11,TaskPerf1Day11,TaskPerf2Day11,TaskPerf3Day11,OCB1Day11,OCB2Day11,OCB3Day11,CWB1Day11,CWB2Day11,CWB3Day11,ProPerf1Day11,ProPerf2Day11,ProPerf3Day11,PANAS1Day12,PANAS2Day12,PANAS3Day12,PANAS4Day12,PANAS5Day12,PANAS6Day12,StressDay12,Fatigue1Day12,Fatigue2Day12,PrevFocus1Day12,PrevFocus2Day12,PrevFocus3Day12,PromFocus1Day12,PromFocus2Day12,PromFocus3Day12,TaskPerf1Day12,TaskPerf2Day12,TaskPerf3Day12,OCB1Day12,OCB2Day12,OCB3Day12,CWB1Day12,CWB2Day12,CWB3Day12,ProPerf1Day12,ProPerf2Day12,ProPerf3Day12,PANAS1Day13,PANAS2Day13,PANAS3Day13,PANAS4Day13,PANAS5Day13,PANAS6Day13,StressDay13,Fatigue1Day13,Fatigue2Day13,PrevFocus1Day13,PrevFocus2Day13,PrevFocus3Day13,PromFocus1Day13,PromFocus2Day13,PromFocus3Day13,TaskPerf1Day13,TaskPerf2Day13,TaskPerf3Day13,OCB1Day13,OCB2Day13,OCB3Day13,CWB1Day13,CWB2Day13,CWB3Day13,ProPerf1Day13,ProPerf2Day13,ProPerf3Day13,PANAS1Day14,PANAS2Day14,PANAS3Day14,PANAS4Day14,PANAS5Day14,PANAS6Day14,StressDay14,Fatigue1Day14,Fatigue2Day14,PrevFocus1Day14,PrevFocus2Day14,PrevFocus3Day14,PromFocus1Day14,PromFocus2Day14,PromFocus3Day14,TaskPerf1Day14,TaskPerf2Day14,TaskPerf3Day14,OCB1Day14,OCB2Day14,OCB3Day14,CWB1Day14,CWB2Day14,CWB3Day14,ProPerf1Day14,ProPerf2Day14,ProPerf3Day14,PANAS1Day15,PANAS2Day15,PANAS3Day15,PANAS4Day15,PANAS5Day15,PANAS6Day15,StressDay15,Fatigue1Day15,Fatigue2Day15,PrevFocus1Day15,PrevFocus2Day15,PrevFocus3Day15,PromFocus1Day15,PromFocus2Day15,PromFocus3Day15,TaskPerf1Day15,TaskPerf2Day15,TaskPerf3Day15,OCB1Day15,OCB2Day15,OCB3Day15,CWB1Day15,CWB2Day15,CWB3Day15,ProPerf1Day15,ProPerf2Day15,ProPerf3Day15,PANAS1Day16,PANAS2Day16,PANAS3Day16,PANAS4Day16,PANAS5Day16,PANAS6Day16,StressDay16,Fatigue1Day16,Fatigue2Day16,PrevFocus1Day16,PrevFocus2Day16,PrevFocus3Day16,PromFocus1Day16,PromFocus2Day16,PromFocus3Day16,TaskPerf1Day16,TaskPerf2Day16,TaskPerf3Day16,OCB1Day16,OCB2Day16,OCB3Day16,CWB1Day16,CWB2Day16,CWB3Day16,ProPerf1Day16,ProPerf2Day16,ProPerf3Day16
4,4,4,4,4,4,4,2,3,2,4,3,5,5,5,5,6,6,6,4,4,4,4,4,4,4,3,3,3,3,3,5,5,5,2,2,2,2,2,2,4,4,2,2,1,1,2,5,1,5,5,5,5,5,4,5,5,5,4,5,5,2,1,1,5,5,5,4,4,2,4,3,2,3,4,2,5,5,5,5,5,5,5,5,5,3,3,5,2,2,2,4,4,3,4,4,2,3,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,5,5,5,4,4,2,2,2,2,2,4,2,4,4,5,5,5,3,5,5,5,5,5,5,2,2,2,5,5,5,4,5,2,4,2,2,4,5,2,4,4,4,4,4,4,4,4,5,4,4,5,2,2,1,4,4,4,4,4,1,1,1,1,2,4,4,5,4,4,4,4,5,4,5,4,4,4,5,1,1,1,4,4,5,3,3,2,4,5,4,2,4,4,5,4,4,4,5,4,4,4,5,4,5,4,1,1,1,4,4,5,4,4,1,2,3,2,2,5,4,4,4,5,5,5,5,5,4,5,5,5,5,2,1,1,5,5,4,3,3,3,3,3,3,5,1,5,4,4,4,5,4,4,5,4,4,4,5,5,5,1,1,4,5,4,4,5,1,1,1,1,2,5,1,4,5,4,4,5,4,5,5,5,5,5,5,1,1,1,5,5,4,5,5,1,1,1,1,2,5,5,5,5,5,3,5,4,4,5,4,5,5,5,1,1,1,,4,5,4,4,4,4,4,3,3,5,4,5,5,5,4,4,5,5,3,3,4,5,5,1,1,3,4,4,5,3,3,3,3,3,3,2,3,3,4,4,3,5,3,3,4,5,4,4,5,5,2,1,1,4,5,4,3,2,2,5,4,3,3,3,4,3,4,4,5,4,3,3,3,4,3,3,3,1,1,1,3,3,4,5,5,1,2,2,1,2,5,1,4,4,3,5,4,4,4,3,4,5,5,5,2,1,1,4,5,4,4,4,3,3,1,1,3,5,1,4,5,3,3,5,5,5,4,4,5,5,3,1,1,1,4,5,4
3,3,4,1,4,2,3,2,4,3,4,1,7,5,6,5,5,6,6,3,4,3,5,3,3,3,3,3,2,3,3,4,3,2,2,2,3,2,1,1,3,4,1,2,1,1,2,3,2,5,5,5,4,3,2,5,5,5,4,3,4,1,1,1,4,4,2,4,4,2,3,2,1,2,2,4,4,4,4,3,3,3,4,4,4,2,2,4,3,1,1,3,3,2,2,3,1,3,2,1,2,2,4,4,5,5,3,3,2,5,5,5,3,3,4,3,1,2,2,4,3,4,4,1,2,2,2,3,3,3,5,5,5,3,2,2,5,5,5,4,4,4,2,1,1,3,3,3,5,5,2,2,2,1,2,4,2,5,5,5,3,3,2,5,5,5,4,4,4,2,1,1,2,2,2,2,3,1,2,2,2,4,2,4,5,5,5,3,3,2,5,5,5,4,4,4,2,1,1,2,2,2,4,4,2,2,2,2,3,3,2,5,5,5,3,2,1,5,5,5,4,3,3,2,1,2,2,2,1,3,4,1,1,2,1,1,4,2,5,5,5,2,2,1,5,5,5,4,3,3,2,1,2,2,2,1,5,4,1,2,2,1,2,4,3,5,5,5,3,3,2,5,5,5,4,3,3,2,1,1,2,2,1,4,4,1,2,2,2,1,4,2,5,5,5,3,3,2,5,5,5,4,3,4,2,1,2,2,2,1,4,4,4,4,3,2,3,4,2,5,5,5,3,3,2,5,5,5,4,4,4,3,1,1,2,2,1,4,3,3,4,2,2,5,2,4,5,5,5,3,3,2,5,5,5,4,4,4,2,1,2,2,3,1,3,3,2,2,3,2,3,4,2,5,5,5,3,2,2,5,5,5,4,4,4,4,1,1,2,2,2,4,3,2,3,2,2,2,4,2,5,5,5,3,2,2,5,5,5,4,3,4,1,1,1,2,4,2,4,4,2,2,2,1,3,4,3,5,5,5,3,2,2,5,5,5,4,4,3,1,1,1,2,4,2,,,,,,,3,4,3,5,5,5,3,3,2,5,5,5,4,4,3,1,1,1,2,4,2
5,2,5,2,5,3,5,1,5,1,5,1,7,7,6,6,6,6,6,4,3,4,4,4,3,3,3,3,3,3,3,4,3,3,1,1,3,1,1,3,4,4,1,1,1,2,4,4,1,5,5,4,5,5,4,5,5,5,5,5,5,1,1,1,3,4,4,5,5,3,3,2,2,4,4,1,5,5,5,5,5,2,5,5,5,5,5,5,1,1,1,4,4,5,5,5,4,4,1,1,5,5,1,5,5,5,5,5,3,5,5,5,5,5,5,1,1,1,3,3,2,5,5,3,5,1,2,4,4,3,5,5,5,5,5,5,5,5,5,4,4,5,1,1,1,5,3,3,5,5,3,3,1,2,4,4,2,5,5,5,5,5,2,5,5,5,5,5,5,1,1,1,4,3,1,4,4,2,3,1,2,5,3,3,5,5,5,5,3,2,1,5,5,4,4,3,1,1,1,2,1,1,5,5,5,5,2,2,5,3,3,5,5,5,5,5,1,5,5,5,4,5,5,1,1,1,3,3,3,4,4,3,3,1,2,5,2,4,5,5,5,5,5,1,5,5,5,5,5,5,1,1,1,2,2,2,4,4,3,4,1,2,5,4,4,5,5,5,5,5,4,5,5,5,5,5,5,1,1,1,2,2,1,4,4,3,3,1,2,5,4,4,5,5,5,5,5,2,5,5,5,5,5,5,1,1,1,3,3,3,4,4,3,3,1,2,5,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,3,3,3,2,2,5,5,2,2,1,1,3,4,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,3,3,5,5,4,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,1,2,4,2,4,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,3,3,4,4,2,2,2,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,3,4
4,1,4,2,4,4,4,2,4,2,1,1,6,4,5,4,4,5,4,4,3,4,4,2,4,4,2,2,2,2,2,4,4,4,4,4,2,2,2,2,5,5,2,3,1,1,1,4,2,4,4,2,2,4,4,4,5,4,4,2,2,2,1,1,3,2,2,4,4,2,3,1,2,2,4,2,4,3,2,3,4,4,4,4,4,3,2,4,3,2,2,2,2,2,4,4,1,2,1,1,2,2,4,4,3,2,3,4,4,4,4,4,4,2,2,2,2,2,3,2,2,4,4,3,4,1,2,3,2,4,4,4,4,3,4,4,4,4,4,2,2,2,2,2,2,2,4,2,4,4,1,3,1,1,1,4,2,4,4,4,4,4,2,4,4,4,2,2,4,2,2,2,2,2,2,3,3,5,5,1,4,3,4,2,4,4,4,4,3,2,4,3,4,2,2,4,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,1,3,2,2,5,4,4,2,2,4,4,4,5,4,5,2,5,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,4,1,4,,2,4,4,4,4,2,4,5,4,4,4,4,2,5,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,5,1,3,3,2,4,4,5,4,4,5,5,5,4,4,2,2,4,1,1,1,2,2,2
5,4,5,4,5,4,4,3,4,2,4,2,7,7,7,6,6,6,7,3,2,4,3,2,3,4,3,3,3,3,3,4,4,4,2,2,2,4,2,4,3,3,1,2,1,1,2,2,4,5,4,4,5,4,4,4,5,5,5,5,4,2,2,2,4,3,3,3,3,1,2,1,2,4,4,2,5,4,4,5,5,4,5,5,5,4,3,4,2,2,2,4,3,3,4,4,2,3,2,2,1,2,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,2,3,3,3,4,3,2,2,2,2,2,4,2,4,4,4,4,4,3,4,4,4,4,4,3,2,2,2,3,3,4,4,4,2,2,2,2,3,4,2,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,4,2,4,4,4,4,4,2,4,4,4,4,2,2,2,2,2,3,3,3,2,2,2,2,2,3,2,2,4,4,4,4,4,4,3,4,4,4,3,3,3,2,2,2,3,3,3,3,3,2,2,1,2,3,2,4,4,4,4,4,4,3,4,4,4,3,3,3,2,2,2,3,3,3,3,3,2,2,1,2,3,2,4,4,4,4,4,4,3,4,4,4,4,4,4,2,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,3,3,4,2,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,3,3,3,3,2,3,1,3,4,2,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,3,3,3,3,4,2,2,2,2,2,3,3,4,4,4,4,4,3,4,4,4,4,3,3,2,2,2,3,3,3,3,3,2,3,2,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,3,3,3,3,2,2,1,2,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,3,3,3
4,2,4,4,5,2,5,2,4,2,4,2,6,6,7,7,6,6,6,4,3,4,3,3,4,5,1,1,1,5,1,5,5,5,2,2,3,2,2,2,4,4,1,2,1,1,3,3,4,5,4,5,4,3,3,5,5,5,3,2,4,1,1,1,2,2,1,4,5,2,2,1,1,3,5,2,4,4,4,4,3,2,4,4,4,4,4,4,1,2,2,4,3,4,3,3,1,2,1,2,4,2,4,4,4,4,3,3,2,4,4,4,3,2,3,1,1,1,1,3,3,5,5,1,1,1,1,1,3,3,5,5,5,4,3,4,5,5,5,4,4,4,1,1,1,3,3,3,5,5,1,1,1,1,,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,4,2,4,4,1,1,1,1,3,4,2,4,4,4,4,3,4,4,4,4,4,4,4,2,2,2,3,3,3,5,5,1,1,1,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,3,3,5,5,1,1,1,1,4,5,1,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,3,4,4,1,2,1,1,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,5,5,1,1,1,1,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,2,2,2,4,4,,1,1,1,4,3,3,4,4,4,4,3,3,4,4,4,4,3,4,2,2,2,2,2,2,5,5,1,1,1,1,5,3,3,4,4,5,4,3,3,4,4,4,5,3,4,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,1,1,1,5,3,5,4,4,4,4,4,4,4,4,4,4,4,3,1,1,1,2,2,2,4,4,1,1,1,1,5,2,4,4,4,4,4,4,4,4,4,4,4,3,4,1,2,2,4,4,4,3,3,1,2,2,1,5,2,4,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,2,2,2
4,2,5,2,4,3,4,1,4,2,5,2,5,5,5,5,5,6,5,3,3,3,4,3,2,3,4,4,4,4,5,4,4,3,2,2,3,2,1,3,3,3,2,4,1,2,,2,3,4,4,4,5,4,3,4,4,5,4,2,3,3,2,2,2,2,2,4,4,1,2,2,2,,3,1,4,4,4,4,4,2,4,4,4,4,2,3,2,1,2,2,3,2,4,4,2,2,1,2,,4,1,4,4,3,4,4,2,4,4,4,3,3,4,2,1,3,3,3,2,4,4,2,2,1,1,2,3,2,4,4,4,4,4,3,5,4,4,4,3,3,2,2,2,2,2,3,4,4,2,1,1,2,2,4,2,4,4,4,4,4,3,4,5,5,4,4,4,2,1,1,3,3,3,4,4,2,1,1,2,2,3,2,4,4,4,4,4,3,4,4,4,3,3,3,1,1,1,3,3,3,4,4,3,2,1,2,2,4,2,4,4,4,4,4,3,4,4,4,3,3,2,2,1,1,3,3,3,4,4,2,1,1,2,,3,4,4,4,4,4,4,3,4,4,4,4,3,4,2,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,2,1,2,,4,2,4,4,4,4,4,2,5,4,,3,3,3,2,1,1,2,2,2,4,4,2,2,1,2,3,3,3,4,4,4,4,4,2,4,4,4,3,3,3,2,1,1,3,3,3,4,4,2,3,1,3,,4,4,4,4,4,3,4,3,5,5,5,3,3,3,1,1,1,3,2,2,4,4,2,2,1,2,,3,4,4,4,4,4,4,3,5,5,5,4,3,2,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,1,2,,4,2,4,4,4,4,4,2,5,5,5,4,3,3,1,1,1,2,2,2,4,5,2,1,1,1,2,4,2,4,4,4,4,4,4,4,4,4,3,3,3,1,1,1,3,3,3
4,3,4,2,4,3,5,2,4,2,4,2,7,7,6,7,7,7,7,5,5,5,5,4,5,4,5,5,4,4,4,4,4,4,1,2,1,2,2,2,4,4,1,2,1,1,3,3,3,4,4,5,3,2,3,5,5,5,5,4,5,1,1,1,3,3,3,5,5,3,3,1,1,2,2,4,4,5,3,3,3,3,5,5,5,3,3,5,1,1,1,2,3,3,5,5,1,1,1,1,3,3,4,4,4,4,4,4,3,3,4,4,3,3,4,2,2,2,2,2,2,3,3,1,1,1,1,3,2,4,4,5,5,3,3,3,4,5,5,4,3,4,2,2,2,2,2,2,5,5,2,2,2,2,3,2,4,5,5,5,3,3,3,5,5,5,4,3,5,1,1,1,3,3,2,5,5,1,1,1,2,2,3,3,5,5,5,5,3,3,5,5,5,4,4,5,1,1,1,3,4,3,4,3,1,3,2,1,3,3,3,5,5,5,5,3,3,5,5,5,4,4,5,1,1,1,3,3,3,5,5,1,1,1,1,1,3,3,5,5,5,5,3,3,4,5,5,4,5,5,1,1,1,2,2,2,5,5,1,3,3,1,3,3,4,4,4,4,4,3,3,5,5,5,4,5,4,1,1,1,3,3,3,5,5,1,1,1,1,3,2,4,5,5,5,3,3,3,5,5,5,5,5,5,1,1,1,1,3,3,5,5,1,1,1,1,3,2,5,5,5,5,3,3,3,5,5,5,5,5,5,1,1,1,3,3,3,5,5,1,1,1,1,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,3,3,5,5,1,2,1,1,3,4,2,4,4,4,4,3,3,4,4,4,4,4,4,1,1,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,1,1,1,,4,2,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,3,3,5,5,2,2,1,1,3,4,3,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,3,3,2
4,3,4,1,4,1,5,1,5,1,4,1,7,6,7,6,6,7,7,5,5,5,4,4,5,4,3,4,4,4,3,3,3,4,4,1,3,1,1,3,3,3,2,2,1,3,,3,2,4,2,2,5,3,2,5,5,5,5,5,5,1,2,1,3,2,3,3,3,1,1,1,1,3,3,3,4,2,4,4,5,4,5,5,5,5,5,5,1,1,1,3,3,2,3,3,1,1,1,1,3,3,3,4,2,4,4,4,4,4,4,4,4,4,4,1,1,1,4,1,3,3,3,1,1,1,1,3,1,5,3,2,2,3,4,2,4,4,4,4,4,4,1,1,1,4,3,3,3,4,1,1,1,1,2,3,1,3,3,1,5,5,3,5,5,5,5,5,5,1,1,1,3,3,3,3,3,1,1,1,1,2,3,4,4,3,3,4,4,3,4,4,4,4,4,4,1,1,1,3,1,1,1,2,3,2,1,2,4,2,5,4,3,4,3,3,3,4,4,4,4,4,4,1,1,1,3,3,3,3,3,1,1,1,1,3,3,2,3,4,3,2,4,3,5,5,5,4,3,4,1,1,1,2,2,2,3,2,1,1,1,1,2,3,4,4,3,4,2,4,2,4,4,4,4,2,4,1,1,1,4,3,3,2,2,1,1,1,1,2,3,2,4,4,4,3,4,2,5,4,5,5,5,3,1,1,1,3,4,2,3,3,1,1,1,1,1,3,2,4,4,4,3,4,2,4,4,4,4,4,4,2,2,2,4,2,2,2,2,1,2,1,1,2,4,2,4,4,4,4,4,2,4,4,4,4,4,4,1,1,1,4,3,3,3,4,1,2,1,1,2,3,2,4,3,3,4,4,4,4,4,4,4,4,4,1,1,1,3,3,2,4,4,1,1,1,1,1,3,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,1,1,5,5,1,5,2,3,4,2,2,2,4,4,4,2,4,2,1,1,1,3,2,1
5,4,4,2,4,4,4,4,4,3,4,4,6,6,6,6,6,6,6,4,4,3,4,3,3,4,3,3,2,4,3,4,4,4,4,2,2,2,2,2,4,4,1,1,1,1,2,4,2,4,4,4,4,4,2,4,5,4,3,2,4,2,2,1,3,4,2,4,4,2,3,1,2,1,4,1,4,2,,5,5,3,4,4,4,5,4,2,1,1,1,4,4,4,4,4,2,3,1,1,2,4,1,5,3,2,5,4,4,4,4,4,5,4,2,1,2,3,2,2,2,4,4,2,2,1,1,1,2,2,4,2,2,5,4,4,4,4,4,4,5,2,1,1,1,3,2,2,4,4,1,3,1,1,1,3,2,4,4,2,5,4,2,4,4,4,3,4,2,1,1,1,2,3,2,4,4,2,3,1,2,3,4,2,4,2,2,5,4,2,4,4,4,3,3,1,1,1,1,1,2,2,4,4,2,3,1,2,1,4,3,4,2,2,5,4,2,4,4,4,5,3,2,1,1,1,2,2,2,4,4,2,3,1,2,3,4,2,4,2,2,5,4,3,4,4,4,5,4,1,1,1,1,2,3,2,5,5,1,3,1,1,3,3,2,4,2,2,4,5,2,4,4,4,3,4,2,1,1,1,1,4,4,4,4,2,3,1,2,2,2,4,4,2,1,4,4,2,4,4,4,4,4,1,1,1,1,4,4,4,4,4,1,2,1,1,1,4,2,3,2,2,4,4,2,4,4,4,5,4,2,1,1,1,2,4,3,4,4,1,2,1,1,3,4,2,4,2,2,4,4,4,4,4,4,5,3,2,1,1,1,1,4,2,4,4,1,2,1,1,3,4,2,4,1,1,4,4,5,4,4,4,3,4,2,2,1,1,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,2,1,1,3,4,2,2,2,2,4,4,3,4,4,4,5,4,2,1,1,1,4,4,4,4,4,1,2,1,1,3,4,2,4,2,2,4,4,2,4,4,4,4,4,4,2,1,1,2,2,2
